Set,Price_Euro,Pieces,Minifigs
Snow Groomer,,197.0,2.0
Harvester Transport,,358.0,3.0
Satellite Service Mission,,84.0,1.0
Rover Testing Drive,,202.0,2.0
Mars Research Shuttle,,273.0,2.0
Lunar Space Station,,412.0,5.0
Deep Space Rocket and Launch Control,,837.0,7.0
Rocket Assembly & Transport,,1055.0,8.0
People Pack - Space Research and Development,,209.0,15.0
Fire Chief Response Truck,,201.0,2.0
